field,nonempty,total_rows,coverage_pct,unique_nonempty,predominant_type,avg_len_nonempty,example_value,KEEP_candidate
conferenceEndDate_s,10,10,100.0,4,scalar,5.1,,YES
conferenceEndDate_tdate,10,10,100.0,4,scalar,8.1,,YES
conferenceStartDateD_i,10,10,100.0,5,scalar,3.3,,YES
conferenceStartDateM_i,10,10,100.0,5,scalar,3.0,,YES
conferenceStartDateY_i,10,10,100.0,3,scalar,4.2,,YES
conferenceStartDate_s,10,10,100.0,5,scalar,5.8,,YES
conferenceStartDate_tdate,10,10,100.0,5,scalar,9.8,,YES
conferenceTitle_s,10,10,100.0,5,scalar,53.0,,YES
contributorFullNameId_fs,10,10,100.0,9,scalar,29.8,Lingmin Liao_FacetSep_126080,YES
contributorFullName_s,10,10,100.0,9,scalar,13.8,Lingmin Liao,YES
contributorIdFullName_fs,10,10,100.0,9,scalar,29.8,126080_FacetSep_Lingmin Liao,YES
contributorId_i,10,10,100.0,9,scalar,6.0,126080,YES
country_s,10,10,100.0,4,scalar,2.6,,YES
dateLastIndexed_tdate,10,10,100.0,10,scalar,24.0,2025-07-30T15:47:27.704Z,YES
deptStructAddress_s,10,10,100.0,3,scalar,7.4,,YES
deptStructCountry_s,10,10,100.0,3,scalar,2.8,,YES
deptStructIdName_fs,10,10,100.0,3,scalar,13.7,,YES
deptStructId_i,10,10,100.0,3,scalar,3.6,,YES
deptStructIsChildOf_fs,10,10,100.0,3,scalar,24.4,,YES
deptStructNameId_fs,10,10,100.0,3,scalar,15.9,,YES
deptStructName_fs,10,10,100.0,3,scalar,12.7,,YES
deptStructName_s,10,10,100.0,3,scalar,10.5,,YES
deptStructType_s,10,10,100.0,2,scalar,4.4,,YES
deptStructValid_s,10,10,100.0,2,scalar,3.4,,YES
docType_s,10,10,100.0,3,scalar,4.0,ART,YES
docid,10,10,100.0,10,scalar,7.0,1000798,YES
doiId_s,10,10,100.0,6,scalar,16.1,10.1017/etds.2014.66,YES
domainAllCode_s,10,10,100.0,9,list,19.3,"[""math.math-ds""]",YES
domain_s,10,10,100.0,9,list,43.7,"[""0.math"", ""1.math.math-ds""]",YES
ePublicationDateD_i,10,10,100.0,3,scalar,3.0,4.0,YES
ePublicationDateM_i,10,10,100.0,3,scalar,3.0,6.0,YES
ePublicationDateY_i,10,10,100.0,2,scalar,3.6,2014.0,YES
ePublicationDate_s,10,10,100.0,3,scalar,4.4,2014-06-04,YES
ePublicationDate_tdate,10,10,100.0,3,scalar,6.4,2014-06-04T00:00:00Z,YES
en_abstract_s,10,10,100.0,10,list,1130.7,"[""Let $b\\geq 2$ be an integer and $\\hv$ a real number. Among other results, we compute the Hausdorff dimension of the set of real numbers $\\xi$ with the property that, for every sufficiently large integer $N$, there exists an integer $n$ such that $1 \\le n \\le N$ and the distance between $b^n \\xi$ and its nearest integer is at most equal to $b^{-\\hv N}$. We further solve the same question when replacing $b^n\\xi$ by $T^n_\\beta \\xi$, where $T_\\beta$ denotes the classical $\\beta$-transformation.""]",YES
en_domainAllCodeLabel_fs,10,10,100.0,9,list,134.2,"[""math.math-ds_FacetSep_Mathematics [math]/Dynamical Systems [math.DS]""]",YES
en_keyword_s,10,10,100.0,7,list,59.3,"[""Uniform Diophantine approximation"", ""B-ary expansions"", ""Hausdorff dimension"", ""Beta-expansions""]",YES
en_subTitle_s,10,10,100.0,2,scalar,7.0,,YES
en_title_s,10,10,100.0,10,list,83.3,"[""Uniform Diophantine approximation related to $b$-ary and $\\beta$-expansions""]",YES
es_domainAllCodeLabel_fs,10,10,100.0,9,list,134.2,"[""math.math-ds_FacetSep_Mathematics [math]/Dynamical Systems [math.DS]""]",YES
eu_domainAllCodeLabel_fs,10,10,100.0,9,list,93.7,"[""math.math-ds_FacetSep_domain_math/domain_math.math-ds""]",YES
fileAnnexes_s,10,10,100.0,2,scalar,17.5,,YES
fileMain_s,10,10,100.0,8,scalar,31.7,https://hal.science/hal-00975111/document,YES
fileType_s,10,10,100.0,4,list,5.4,"[""file"", ""src""]",YES
files_s,10,10,100.0,8,list,58.7,"[""https://hal.science/hal-00975111/file/BuLingmin-revised2.pdf""]",YES
fr_domainAllCodeLabel_fs,10,10,100.0,9,list,145.1,"[""math.math-ds_FacetSep_Mathématiques [math]/Systèmes dynamiques [math.DS]""]",YES
halId_s,10,10,100.0,10,scalar,12.3,hal-00975111,YES
inPress_bool,10,10,100.0,1,scalar,5.0,False,YES
instStructAcronym_s,10,10,100.0,10,list,56.1,"[""UNISTRA"", ""UPEM"", ""UPEC UP12""]",YES
